行政區,路權單位,申挖種類,工程類型,鋪面,修復管理費,路面修復費,施工期限_起,施工期限_止,施工面積,修復面積,施工地點
中壢區,中壢區,一般,新設,柏油,128,8880,104/04/13,104/04/17,1.6,24,中壢區三和二街3-1號
中壢區,中壢區,一般,新設,柏油,192,7400,104/04/13,104/04/17,2.4,20,中壢區自立里自立二街12號
中壢區,工務局,一般,新設,柏油,192,13440,104/04/17,104/04/20,2.4,14,中壢區中央西路2段16號
中壢區,工務局,一般,新設,柏油,192,13440,104/04/17,104/04/20,2.4,14,中壢區中央西路路2段18號
中壢區,工務局,一般,新設,柏油,192,6086,104/04/17,104/04/20,2.4,16.45,中壢區縣道：113丙號(線)道路1公里+740公尺至1公里+740公尺[新生路3段821號對面]
桃園區,桃園區,一般,新設,柏油,128,6475,104/04/15,104/04/18,1.6,17.5,桃園區春日路1038號[(春日路1046巷)]
平鎮區,平鎮區,一般,新設,柏油,640,16280,104/04/07,104/04/10,8,44,平鎮區東社里建明路15巷16號[16-22號等戶]
蘆竹區,蘆竹區,一般,新設,柏油,256,6216,104/04/07,104/04/10,3.2,16.8,蘆竹區大新路1015巷53號
中壢區,工務局,一般,遷移,柏油,80,3360,104/04/25,104/04/28,1,3.5,中壢區青商路351號至青商351號[中壢區青商路351號前]
觀音區,觀音區,一般,新設,柏油,768,0,104/04/01,104/04/04,9.6,0,觀音區大同里環中路275巷與中山路二段交口號[路面加封=13*7.5=97.5]
觀音區,觀音區,一般,新設,柏油,160,0,104/04/15,104/04/18,2,0,觀音區新興里6鄰8-3號旁號[路面加封=3*3.5=10.5]
觀音區,觀音區,一般,新設,柏油,320,0,104/05/27,104/05/30,4,0,觀音區建國路與民權路口號[地磚人行道修復=2*2=4]
觀音區,觀音區,一般,新設,柏油,410,0,104/06/15,104/06/18,5.12,0,"觀音區草漯里莊敬路與四維路口號[AC路面加封3.4*3.5=11.9,AC人行道修復2*3.5=7,RC人行道修復2.9*3.5=10.15]"
大園區,大園區,一般,新設,柏油,160,7492,104/04/29,104/04/30,2,20.25,大園區下埔里下埔43-2號對面號[路面加封=4.5*4.5=20.25]
桃園區,工務局,一般,搶修,柏油,128,4532,104/03/06,104/03/07,1.6,12.25,桃園區鄉道：桃53號(線)道路1公里+950公尺至1公里+952公尺[桃園區國際路二段75號前]
龜山區,工務局,一般,新設,柏油,96,3885,104/04/21,104/04/24,1.2,10.5,龜山區鄉道：桃7號(線)道路2公里+765公尺至2公里+765公尺[龜山區振興路1197巷旁]
平鎮區,平鎮區,一般,搶修,柏油,240,17760,104/03/09,104/03/09,3,48,平鎮區洪圳路132巷1弄7號至洪圳132巷1弄7號
平鎮區,平鎮區,一般,搶修,柏油,414,22533,104/03/09,104/03/09,5.18,60.9,平鎮區延平路2段21巷43弄9號至延平2段21巷43弄9號
中壢區,中壢區,一般,搶修,柏油,213,6000,104/03/09,104/03/09,2.66,24,中壢區興隆三街54號至興隆三街54號
中壢區,中壢區,一般,搶修,柏油,211,8880,104/03/09,104/03/09,2.64,24,中壢區華忠新里華忠新村路130號
中壢區,中壢區,一般,搶修,柏油,218,8880,104/03/04,104/03/04,2.72,24,中壢區龍城新里67號
新屋區,工務局,一般,搶修,柏油,64,5180,104/03/04,104/03/05,0.8,14,新屋區鄉道：桃106號(線)道路6公里+320公尺至6公里+320公尺[新屋區望間村一鄰7-2號斜對面]
桃園區,工務局,一般,孔蓋昇降,柏油,720,19425,104/04/20,104/04/23,9,52.5,桃園區大業路2段231號至大業路2段271號
中壢區,工務局,一般,搶修,柏油,368,7992,104/03/06,104/03/07,4.6,21.6,中壢區環中東路665號至環中東665號[NL2361068]
桃園區,工務局,一般,孔蓋昇降,柏油,288,7770,104/04/20,104/04/23,3.6,21,桃園區大業路1段419號至大業路1段451號[前]
龍潭區,龍潭區,一般,新設,柏油,1728,45880,104/04/13,104/04/16,21.6,124,龍潭區南龍路1號[南龍路1號前~東龍路口]
大園區,大園區,一般,搶修,柏油,320,7492,104/03/05,104/03/05,4,20.25,大園區南港里[5鄰63之2號]
楊梅區,工務局,一般,搶修,柏油,384,4532,104/03/05,104/03/06,4.8,12.25,楊梅區鄉道：桃110號(線)道路1公里+500公尺至1公里+500公尺[楊梅區中正路雀翔煙火公司下50公尺]
桃園區,工務局,一般,搶修,柏油,144,0,104/03/09,104/03/09,1.8,0,桃園區中正路279號至中正路279號
大溪區,工務局,一般,新設,柏油,128,5828,104/03/17,104/03/20,1.6,15.75,大溪區鄉道：桃60號(線)道路0公里+850公尺至0公里+850公尺[大鶯路1281號旁]
平鎮區,平鎮區,一般,新設,柏油,128,2590,104/04/07,104/04/10,1.6,7,平鎮區民族路雙連1段199巷10弄55衖22號
中壢區,工務局,一般,新設,柏油,205,8564,104/04/15,104/04/18,2.56,12.25,中壢區縣道：113號(線)道路12公里+500公尺至12公里+500公尺[中豐北路2段217號]
大溪區,大溪區,一般,新設,柏油,16128,469900,104/04/20,104/04/24,201.6,1270,大溪區美山路1段738巷181號
中壢區,中壢區,一般,新設,柏油,1200,42550,104/04/13,104/04/17,15,115,中壢區永泰路0號至民權四段0號[中壢區永泰路、民權路四段路口。]
大溪區,大溪區,一般,新設,柏油,1152,48100,104/03/31,104/04/02,14.4,130,大溪區普濟路90號至普濟90號
中壢區,中壢區,一般,新設,柏油,7920,181152,104/04/27,104/04/30,99,489.6,中壢區民權路三段15巷37號至民權三段15巷37號[詳背面平面圖。]
中壢區,中壢區,一般,新設,柏油,15760,546120,104/08/28,104/09/01,197,1476,中壢區華勛街[中壢區華勛街自晉元路至華祥一街間。]
楊梅區,楊梅區,一般,搶修,柏油,400,12950,104/03/05,104/03/06,5,35,楊梅區楊湖路二段277巷20之1號
中壢區,中壢區,一般,新設,柏油,128,5920,104/04/08,104/04/12,1.6,16,中壢區萬大路342巷7號
中壢區,中壢區,一般,新設,柏油,384,11840,104/03/30,104/04/02,4.8,32,中壢區過嶺里松義一街99號至松義一街99號
大園區,大園區,一般,新設,柏油,160,7492,104/04/21,104/04/24,2,20.25,大園區致祥一街110號
桃園區,桃園區,一般,新設,柏油,8576,297480,104/04/21,104/04/24,107.2,804,桃園區國豐三街138號[旁]
蘆竹區,工務局,一般,新設,柏油,192,6475,104/04/16,104/04/19,2.4,17.5,蘆竹區縣道：110號(線)道路10公里+825公尺至10公里+825公尺[蘆竹區大竹路117號]
中壢區,工務局,一般,新設,柏油,2280,26862,104/08/24,104/08/28,28.5,72.6,中壢區晉元路0號至華勛街0號[中壢區晉元路、華勛街口。]
八德區,八德區,一般,新設,柏油,4992,192400,104/06/03,104/06/06,62.4,520,八德區仁德一路0號[建國路口左側起]
八德區,八德區,一般,新設,柏油,1536,41440,104/04/14,104/04/18,19.2,112,八德區正福街0號[正福七街口]
桃園區,工務局,一般,孔蓋昇降,柏油,320,4532,104/04/13,104/04/16,4,12.25,桃園區南平路336號[對面]
桃園區,桃園區,一般,新設,柏油,6400,242720,104/04/15,104/04/18,80,656,桃園區中山路507巷6號[旁]
桃園區,桃園區,一般,新設,柏油,1088,29415,104/04/13,104/04/16,13.6,79.5,桃園區中正三街[和永光街口]
桃園區,桃園區,一般,新設,柏油,5280,71225,104/04/15,104/04/18,66,192.5,桃園區龍泉五街29號[旁]
八德區,八德區,一般,新設,柏油,672,29600,104/04/15,104/04/18,8.4,80,八德區和義街58號[58號前]
桃園區,工務局,一般,搶修,柏油,1022,9454,104/03/05,104/03/06,12.77,25.55,桃園區鄉道：桃16號(線)道路0公里+200公尺至0公里+200公尺[桃園區慈文路與經國路口]
八德區,八德區,一般,新設,柏油,384,17760,104/04/21,104/04/24,4.8,48,八德區廣興二路[如略圖]
中壢區,工務局,一般,搶修,柏油,112,4532,104/03/05,104/03/05,1.4,12.25,中壢區縣道：110甲號(線)道路6公里+510公尺至6公里+510公尺[中壢區中園路190號]
大園區,大園區,一般,新設,柏油,3120,109890,104/04/21,104/04/24,39,297,大園區春德路0號至春德0號[施工地點：大園區春德路。中壢區青埔路一段69號後方春德路上。]
楊梅區,楊梅區,一般,搶修,柏油,8480,261664,104/03/03,104/03/03,106,707.2,楊梅區埔心里日新街1號至29號
中壢區,工務局,一般,新設,柏油,1856,83520,104/04/20,104/04/23,23.2,87,中壢區三民路一段至五興路65號[三民路一段五興路口(NL2441028)]
平鎮區,平鎮區,一般,搶修,柏油,196,4551,104/03/03,104/03/03,2.45,12.3,平鎮區北安里金華街42巷1號
桃園區,工務局,一般,孔蓋昇降,柏油,468,11655,104/04/12,104/04/15,5.85,31.5,"桃園區鄉道：桃18號(線)道路0公里+735公尺至0公里+765公尺[桃園區莊敬路2段185,193號前]"
桃園區,工務局,一般,孔蓋昇降,柏油,144,5828,104/04/12,104/04/15,1.8,15.75,桃園區鄉道：桃18號(線)道路1公里+0公尺至1公里+0公尺[桃園區莊敬路2段98號前]
蘆竹區,工務局,一般,檢修,柏油,192,4532,104/04/03,104/04/06,2.4,12.25,蘆竹區縣道：110號(線)道路8公里+290公尺至8公里+293公尺[大新路右側與380巷口]
平鎮區,工務局,一般,新設,柏油,384,7770,104/04/20,104/04/23,4.8,21,平鎮區縣道：113甲號(線)道路1公里+950公尺至1公里+955公尺[金陵路2段395.397號]
大園區,大園區,一般,新設,柏油,160,7492,104/04/21,104/04/24,2,20.25,大園區中正東路3段415巷6號
楊梅區,楊梅區,一般,搶修,柏油,320,12950,104/03/04,104/03/05,4,35,楊梅區民生街163巷41號
中壢區,中壢區,一般,新設,柏油,128,5920,104/04/08,104/08/12,1.6,16,中壢區中興路23號
平鎮區,平鎮區,一般,新設,柏油,192,5180,104/04/07,104/04/10,2.4,14,平鎮區興埔路44號
中壢區,工務局,一般,新設,柏油,7040,212750,104/04/27,104/04/30,88,575,中壢區洽溪路至永春[新潤建設接氣]
桃園區,桃園區,一般,搶修,柏油,528,13024,104/03/03,104/03/03,6.6,35.2,桃園區林森路6巷至林森68巷
八德區,八德區,一般,新設,柏油,960,29600,104/04/14,104/04/18,12,80,八德區國豐六街28號[國豐一街口~國豐六街28號旁]
大溪區,工務局,一般,搶修,柏油,288,9065,104/03/05,104/03/06,3.6,24.5,大溪區鄉道：桃59號(線)道路0公里+390公尺至0公里+395公尺[慈康路155巷口旁]
龍潭區,工務局,一般,新設,柏油,5760,100270,104/04/30,104/05/01,72,271,龍潭區鄉道：桃67號(線)道路7公里+936公尺至7公里+990公尺[龍潭區楊銅路一段582-9號前~華映公司前]
八德區,八德區,一般,搶修,柏油,403,14800,104/03/04,104/03/04,5.04,40,八德區聯華街38號至聯華街38號
楊梅區,楊梅區,一般,新設,柏油,160,5180,104/04/13,104/04/16,2,14,楊梅區中華街66巷5號
桃園區,桃園區,一般,搶修,柏油,1704,56425,104/03/02,104/03/04,21.3,152.5,桃園區吉昌街至國聖一街[因桃園市桃園區吉昌街與國聖一街口]
楊梅區,楊梅區,一般,新設,柏油,240,5328,104/04/13,104/04/16,3,14.4,楊梅區四維里永美路367巷1弄6號
楊梅區,楊梅區,一般,新設,柏油,4320,204240,104/04/13,104/04/16,54,552,楊梅區中山北路一段397號
平鎮區,平鎮區,一般,新設,柏油,640,37000,104/04/14,104/04/17,8,100,平鎮區德育路二段170巷至德育二段170巷25弄[170巷與25弄路口]
龜山區,龜山區,一般,搶修,柏油,426,4921,104/03/04,104/03/05,5.32,13.3,龜山區海萍路4號至海萍4號[海萍路4號]
桃園區,桃園區,一般,新設,柏油,96,7770,104/03/30,104/04/02,1.2,21,桃園區博愛路202號[如略圖]
桃園區,桃園區,一般,搶修,柏油,80,6475,104/03/06,104/03/06,1,17.5,桃園區三民路二段至公六街[口]
八德區,工務局,一般,新設,柏油,192,6475,104/04/14,104/04/17,2.4,17.5,八德區縣道：114號(線)道路26公里+700公尺至26公里+700公尺[中山東路4段96號]
八德區,工務局,一般,新設,柏油,192,3885,104/08/17,104/08/20,2.4,10.5,八德區鄉道：桃46號(線)道路4公里+65公尺至4公里+65公尺[八德區建國路1073號對面]
大溪區,工務局,一般,新設,柏油,576,5828,104/04/13,104/04/16,7.2,15.75,大溪區埔仁路691號
蘆竹區,工務局,一般,新設,柏油,3200,54760,104/04/22,104/04/25,40,148,蘆竹區鄉道：桃6號(線)道路2公里+980公尺至3公里+170公尺[蘆竹區南竹路二段155-22號旁及143巷旁]
八德區,八德區,一般,新設,柏油,192,14800,104/04/17,104/04/20,2.4,40,八德區長興路76號[旁工地]
桃園區,工務局,一般,抽換,柏油,400,6475,104/04/09,104/04/13,5,17.5,桃園區中正路[和莊敬路一段口]
桃園區,桃園區,一般,新設,柏油,1440,38628,104/04/13,104/04/16,18,104.4,桃園區鎮二街[和東園街口]
龍潭區,龍潭區,一般,新設,柏油,128,2775,104/04/13,104/04/16,1.6,7.5,龍潭區和平街31-1號[邊空地]
大溪區,大溪區,一般,新設,柏油,192,4440,104/04/14,104/04/17,2.4,12,大溪區東二路71號
中壢區,工務局,一般,搶修,柏油,192,5180,104/03/02,104/03/03,2.4,14,中壢區縣道：112號(線)道路23公里+632公尺至23公里+632公尺[中壢區龍岡路三段592號(NL2457036)]
中壢區,中壢區,一般,搶修,柏油,326,13320,104/03/04,104/03/04,4.08,36,中壢區華祥二街至華勛街
中壢區,中壢區,一般,搶修,柏油,194,8880,104/03/04,104/03/04,2.42,24,中壢區華勛街155巷19號至華勛街155巷19號
中壢區,中壢區,一般,搶修,柏油,190,8880,104/03/05,104/03/05,2.38,24,中壢區仁美新里131號至131號
八德區,八德區,一般,新設,柏油,448,17760,104/08/18,104/08/21,5.6,48,八德區長興一路[八德區長興一路]
中壢區,工務局,一般,搶修,柏油,160,7770,104/03/05,104/03/06,2,21,中壢區縣道：114號(線)道路21公里+520公尺至21公里+520公尺[中壢區中山路445號]
楊梅區,楊梅區,一般,新設,柏油,160,4440,104/04/13,104/04/16,2,12,楊梅區員本里[11鄰北下陰影窩41之7號]
楊梅區,工務局,一般,新設,柏油,1024,25900,104/04/27,104/04/29,12.8,70,楊梅區縣道：115號(線)道路14公里+900公尺至14公里+900公尺[楊梅區水美里楊新路一段347號左側]
蘆竹區,蘆竹區,一般,新設,柏油,192,7252,104/08/18,104/08/21,2.4,19.6,蘆竹區大興十四街[蘆竹區大興十四街]
平鎮區,工務局,一般,搶修,柏油,302,7770,104/03/02,104/03/03,3.77,21,平鎮區縣道：113甲號(線)道路2公里+340公尺至2公里+340公尺[平鎮區金陵路二段531號]
中壢區,中壢區,一般,新設,柏油,128,5920,104/04/07,104/04/11,1.6,16,中壢區啟文路2段350巷75號
中壢區,中壢區,一般,新設,柏油,256,5920,104/04/07,104/04/11,3.2,16,中壢區山大路495號
龍潭區,工務局,一般,新設,柏油,4608,62160,104/04/13,104/04/17,57.6,168,龍潭區鄉道：桃69號(線)道路0公里+728公尺至0公里+768公尺[龍潭區中原路一段321號旁]
大園區,大園區,一般,其它,柏油,480,13320,104/10/11,104/10/14,6,36,大園區果林里果林路26之106號至果林26之106號[旁]
大溪區,大溪區,一般,新設,柏油,384,16280,104/04/17,104/04/22,4.8,44,大溪區仁和七街162號至仁和七街162號[旁]
大園區,大園區,一般,新設,柏油,480,10989,104/04/29,104/04/30,6,29.7,大園區溪海里聖德北路419巷39號旁號[路面加封=6.6*4.5=29.7]
楊梅區,楊梅區,一般,搶修,柏油,160,10360,104/03/03,104/03/04,2,28,楊梅區福德街100巷8號
楊梅區,工務局,一般,搶修,柏油,470,7770,104/03/03,104/03/04,5.88,21,楊梅區鄉道：桃13號(線)道路8公里+780公尺至8公里+780公尺[楊梅區楊湖路一段與大平街交叉口]
楊梅區,工務局,一般,搶修,柏油,104,6475,104/03/03,104/03/04,1.3,17.5,楊梅區梅獅路一段[路口]
中壢區,中壢區,一般,新設,柏油,192,5920,104/04/07,104/04/11,2.4,16,中壢區忠福里興福街19號
平鎮區,平鎮區,一般,新設,柏油,128,5180,104/04/08,104/04/11,1.6,14,平鎮區北興里興埔路10號
平鎮區,平鎮區,一般,新設,柏油,128,5180,104/04/08,104/04/11,1.6,14,平鎮區清泉街5巷8號
平鎮區,平鎮區,一般,新設,柏油,512,11100,104/04/08,104/04/11,6.4,30,平鎮區雙連里民族路雙連1段199巷10弄55衖38號
平鎮區,平鎮區,一般,搶修,柏油,624,7770,104/02/27,104/02/27,7.8,21,平鎮區振昌街10號至振昌街10號
桃園區,桃園區,一般,新設,柏油,1728,89910,104/04/21,104/04/24,21.6,243,桃園區民有三街426號至民有三街426號[旁]
八德區,八德區,一般,新設,柏油,192,5920,104/04/01,104/04/04,2.4,16,八德區和平路649巷21號
中壢區,中壢區,一般,新設,柏油,2880,91760,104/07/07,104/07/11,36,248,中壢區內定二十街76巷35號至內定二十街76巷37號
中壢區,中壢區,一般,搶修,柏油,176,8880,104/03/03,104/03/03,2.2,24,中壢區永園路1段217號至永園1段217號[中壢區永園路一段217號對面]
中壢區,工務局,一般,搶修,柏油,1793,18426,104/03/03,104/03/04,22.41,49.8,中壢區鄉道：桃45號(線)道路5公里+100公尺至5公里+100公尺[中壢區永園路一段與民權路5段口]
中壢區,中壢區,一般,新設,柏油,448,14800,104/04/20,104/04/23,5.6,40,中壢區過嶺里松德路83號至松德83號[(旁邊)]
新屋區,新屋區,一般,新設,柏油,640,12950,104/04/16,104/04/19,8,35,新屋區新洲三街至新洲五街[街口]
中壢區,中壢區,一般,其它,柏油,832,22200,104/04/14,104/04/17,10.4,60,中壢區松義一街130號[對面]
中壢區,工務局,一般,新設,柏油,384,11655,104/04/15,104/04/18,4.8,31.5,中壢區鄉道：桃45號(線)道路5公里+600公尺至5公里+600公尺[民權路四段546號旁]
桃園區,桃園區,一般,搶修,柏油,792,10360,104/02/25,104/02/25,9.9,28,桃園區國民街27號至國民街27號
大園區,工務局,一般,搶修,柏油,144,4532,104/03/02,104/03/02,1.8,12.25,大園區果林里[三民路二段與果林街口]
桃園區,桃園區,一般,新設,柏油,128,6475,104/03/30,104/04/02,1.6,17.5,桃園區永樂街134號[挖掘地點北興街]
桃園區,桃園區,一般,搶修,柏油,1040,7770,104/03/02,104/03/02,13,21,桃園區大有路652巷至大有652巷
龜山區,工務局,一般,新設,柏油,2240,51245,104/08/14,104/08/17,28,138.5,龜山區復興南路70號[旁]
觀音區,觀音區,一般,新設,柏油,416,0,104/06/22,104/06/25,5.2,0,"觀音區草漯里四維路與福德街交叉口號[AC路面加封3.5*3.5=12.25,AC人行道修復2.1*3.5=7.35,RC人行道修復2.9*3.5=10.15]"
龍潭區,龍潭區,一般,搶修,柏油,160,3885,104/03/03,104/03/04,2,10.5,龍潭區龍華路16號至龍華路16號
龜山區,工務局,一般,新設,柏油,2240,31080,104/04/20,104/04/23,28,84,龜山區文化一路[復興三路交叉口]
楊梅區,工務局,一般,搶修,柏油,447,5568,104/03/02,104/03/03,5.59,15.05,楊梅區環東路497號
楊梅區,工務局,一般,搶修,柏油,302,4532,104/03/02,104/03/03,3.77,12.25,楊梅區環東路436號
龜山區,龜山區,一般,檢修,柏油,6656,20720,104/04/01,104/04/07,83.2,56,龜山區民生北路1段468-11號[附近電桿前]
中壢區,工務局,一般,其它,柏油,704,7400,104/04/24,104/04/27,8.8,20,中壢區松平三街16號
平鎮區,平鎮區,一般,其它,柏油,1984,66600,104/04/15,104/04/18,24.8,180,平鎮區南京路102巷
平鎮區,工務局,一般,其它,柏油,2944,34040,104/04/20,104/04/23,36.8,92,平鎮區鄉道：桃78號(線)道路2公里+428公尺至2公里+474公尺[育達路二段102號旁]
新屋區,新屋區,一般,其它,柏油,1408,28490,104/04/16,104/04/19,17.6,77,新屋區新洲東路60號至新洲
龍潭區,龍潭區,一般,搶修,柏油,160,6660,104/03/02,104/03/03,2,18,龍潭區富樂新里10號至10號[龍潭區富樂新村10號(干城路內)]
平鎮區,平鎮區,一般,其它,柏油,384,10360,104/04/15,104/04/18,4.8,28,平鎮區民族路2段234號
新屋區,工務局,一般,檢修,柏油,112,3885,104/04/20,104/04/23,1.4,10.5,新屋區三民路159-1號至三民159-1號[ZW新屋區三民路159-1號(H5346)。]
楊梅區,楊梅區,一般,新設,柏油,1440,139194,104/04/29,104/04/30,18,376.2,"楊梅區水美里新梅九街60巷[1-26號,36-58號]"
楊梅區,楊梅區,一般,新設,柏油,160,3848,104/04/13,104/04/16,2,10.4,楊梅區三湖里[15鄰頭湖20之1號]
大溪區,大溪區,一般,檢修,柏油,192,11100,104/04/07,104/04/10,2.4,30,大溪區儲蓄新里64巷19號
龍潭區,龍潭區,一般,新設,柏油,256,5550,104/03/31,104/04/07,3.2,15,龍潭區民生路800巷60弄1號[龍潭區民生路800巷60弄1號對面]
桃園區,桃園區,一般,新設,柏油,808,27972,104/04/03,104/04/06,10.1,75.6,桃園區中山路956巷[桃園區中山路956巷]
八德區,八德區,一般,新設,柏油,192,14800,104/04/27,104/04/30,2.4,40,八德區仁德一路[八德區仁德一路與仁德二路口]
桃園區,桃園區,一般,新設,柏油,192,7770,104/04/15,104/04/18,2.4,21,桃園區愛八街97號[旁]
龜山區,工務局,一般,新設,柏油,51584,1043770,104/04/21,104/04/25,644.8,2821,龜山區中興路至明興街[補充氣源~欣興電子]
大溪區,工務局,一般,新設,柏油,256,7122,104/04/07,104/04/10,3.2,19.25,大溪區縣道：112號(線)道路27公里+570公尺至27公里+570公尺[桃園市大溪區仁和路2段258號]
大溪區,大溪區,一般,檢修,柏油,384,22200,104/04/07,104/04/10,4.8,60,大溪區三元三街8號至三元三街37號
新屋區,新屋區,一般,新設,柏油,128,5568,104/04/06,104/04/08,1.6,15.05,新屋區清華里[5鄰北勢69之3號]
平鎮區,平鎮區,一般,新設,柏油,192,3885,104/04/07,104/04/10,2.4,10.5,平鎮區金陵路2段529巷46號
大溪區,大溪區,一般,新設,柏油,640,26640,104/03/30,104/04/02,8,72,大溪區仁善街77號至仁善街77號[旁]
龍潭區,工務局,一般,新設,柏油,192,6475,104/03/30,104/04/02,2.4,17.5,龍潭區鄉道：桃69號(線)道路0公里+615公尺至0公里+615公尺[龍潭區中原路一段]
龍潭區,龍潭區,一般,遷移,柏油,480,13320,104/10/19,104/10/22,6,36,龍潭區復興路45巷10號
八德區,八德區,一般,新設,柏油,4224,133200,104/04/27,104/04/30,52.8,360,八德區中華路5巷33號[用電地址在33號對面]
桃園區,桃園區,一般,新設,柏油,128,5180,104/04/07,104/04/10,1.6,14,桃園區龍壽街213巷6-2號
八德區,八德區,一般,新設,柏油,1440,59200,104/04/15,104/04/18,18,160,八德區中正北路0號[中正北路廣興一路口]
桃園區,桃園區,一般,新設,柏油,192,5180,104/04/07,104/04/10,2.4,14,桃園區國際一路138號[旁]
龜山區,龜山區,一般,孔蓋昇降,柏油,352,2590,104/04/14,104/04/17,4.4,7,龜山區南上路40巷
蘆竹區,工務局,一般,新設,柏油,2861,53627,104/04/22,104/04/25,35.76,129.5,蘆竹區大興路282號[前至大興八街口]
蘆竹區,工務局,一般,新設,柏油,1440,30292,104/04/19,104/04/23,18,68.25,蘆竹區中興路110號
蘆竹區,工務局,一般,新設,柏油,512,10360,104/04/27,104/04/30,6.4,28,蘆竹區中正北路475號
中壢區,工務局,一般,新設,柏油,1856,33263,104/04/22,104/04/26,23.2,89.9,中壢區松仁路157號[中壢區松仁路157號旁。]
中壢區,工務局,一般,搶修,柏油,300,7770,104/03/02,104/03/03,3.75,21,中壢區鄉道：桃45號(線)道路10公里+990公尺至10公里+990公尺[中壢區民權路二段25號]
大溪區,大溪區,一般,檢修,柏油,1280,31080,104/04/07,104/04/10,16,84,大溪區大同街6號至大同街20巷12號[共修管4處]
新屋區,工務局,一般,新設,柏油,19200,777000,104/06/01,104/06/18,240,2100,新屋區中山路[三民路口至三民路529號]
八德區,工務局,一般,孔蓋昇降,柏油,432,13598,104/08/05,104/08/08,5.4,36.75,"八德區鄉道：桃57號(線)道路1公里+900公尺至2公里+260公尺[和平路680,770,826號]"
八德區,工務局,一般,其它,柏油,1280,14800,104/03/28,104/03/31,16,40,八德區鄉道：桃51號(線)道路3公里+250公尺至3公里+270公尺[八德區永豐路300號]
大園區,大園區,一般,搶修,柏油,320,7492,104/02/27,104/02/27,4,20.25,大園區橫峰里橫湳路211巷
楊梅區,楊梅區,一般,新設,柏油,480,12432,104/04/13,104/04/16,6,33.6,楊梅區五守街[與金龍三路交叉口]
中壢區,中壢區,一般,新設,柏油,192,5920,104/04/07,104/04/11,2.4,16,中壢區內厝八路272巷50號
觀音區,工務局,一般,搶修,柏油,518,11008,104/02/26,104/02/27,6.48,29.75,觀音區鄉道：桃40號(線)道路0公里+930公尺至0公里+935公尺[觀音區廣福里廣大路349號]
楊梅區,楊梅區,一般,新設,柏油,400,8880,104/04/13,104/04/16,5,24,楊梅區豐野里豐興街98巷16弄36號
龍潭區,工務局,一般,新設,柏油,640,12950,104/04/08,104/04/09,8,35,龍潭區鄉道：桃69號(線)道路3公里+230公尺至3公里+230公尺[龍潭區中原路二段660號左側]
桃園區,工務局,一般,新設,柏油,448,15522,104/03/15,104/03/18,5.6,19.25,桃園區鄉道：桃53-1號(線)道路0公里+223公尺至0公里+223公尺[桃園區文中路71號]
大溪區,大溪區,一般,新設,柏油,128,4995,104/04/14,104/04/17,1.6,13.5,大溪區東二路69號
龜山區,龜山區,一般,檢修,柏油,400,6475,104/03/07,104/04/10,5,17.5,龜山區大同路245巷2號至大同路245巷2號[斜對面]
楊梅區,工務局,一般,孔蓋昇降,柏油,640,9583,104/08/10,104/08/13,8,25.9,楊梅區鄉道：桃102號(線)道路9公里+780公尺至9公里+820公尺[楊梅區電研路111巷口，共2處。]
中壢區,工務局,一般,新設,柏油,512,10360,104/03/06,104/03/08,6.4,28,中壢區興仁里榮民路167號至榮民167號[(旁邊)]
觀音區,觀音區,一般,新設,柏油,1472,0,104/04/16,104/04/19,18.4,0,觀音區[觀音崙坪村1鄰1-38號旁]
觀音區,工務局,一般,新設,柏油,384,11100,104/04/16,104/04/19,4.8,30,觀音區縣道：112號(線)道路7公里+950公尺至7公里+956公尺[觀音環中路351號]
新屋區,新屋區,一般,新設,柏油,192,7770,104/04/07,104/04/10,2.4,21,新屋區社子里[社子1之2號附近]
蘆竹區,工務局,一般,檢修,柏油,320,1850,104/04/02,104/04/05,4,5,蘆竹區鄉道：桃50號(線)道路0公里+500公尺至0公里+505公尺[蘆竹區新興街127號]
新屋區,工務局,一般,新設,柏油,384,3700,104/04/16,104/04/19,4.8,10,新屋區縣道：114號(線)道路11公里+74公尺至11公里+79公尺[新屋鄉中山東路1段515號]
中壢區,中壢區,一般,孔蓋昇降,柏油,640,18648,104/04/13,104/04/17,8,50.4,中壢區惠州街129號至惠州街143號[中壢區惠州街129號至143號間，共2處。]
平鎮區,平鎮區,一般,新設,柏油,128,5180,104/04/07,104/04/10,1.6,14,平鎮區興埔路50號
中壢區,中壢區,一般,新設,柏油,256,8880,104/04/13,104/04/17,3.2,24,中壢區成功路133巷34號[34號邊]
龍潭區,龍潭區,一般,遷移,柏油,480,5550,104/03/16,104/03/19,6,15,龍潭區龍華路460號
中壢區,工務局,一般,新設,柏油,351,9065,104/04/24,104/04/27,4.39,24.5,中壢區鄉道：桃77號(線)道路0公里+40公尺至0公里+46公尺[龍興路387巷口]
龍潭區,龍潭區,一般,搶修,柏油,400,8880,104/02/27,104/02/27,5,24,龍潭區龍青路62號至龍青路62號
大溪區,大溪區,一般,搶修,柏油,720,10175,104/02/27,104/02/28,9,27.5,大溪區慈光街109號至慈光街109號[大溪區慈光街109號對面]
大溪區,大溪區,一般,新設,柏油,160,5960,104/03/04,104/03/06,2,2,大溪區復興路2段[百吉隧道口]
平鎮區,工務局,一般,孔蓋昇降,柏油,320,9065,104/03/23,104/03/26,4,24.5,平鎮區縣道：113號(線)道路17公里+200公尺至17公里+200公尺[平鎮區中豐路3號對面，快車道斑馬線上。]
